smiles,Caco2Papp,scaffold
O=C(NC1(C(=O)N[C@@H](Cc2ccccc2)C(=O)NCCCN2CCOCC2)CCCC1)c1cc2ccccc2s1,-5.0478787,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89690>
CCC(C)(C)C(=O)O[C@@H]1C[C@H](C)C=C2C=C[C@@H](C)[C@@H](CC[C@@H]3C[C@H](O)CC(=O)O3)[C@@H]21,-5.1700001,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89700>
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-4.8400002,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89770>
CC(C)[C@@H](C(=O)N[C@H](C)Cc1ccc(O)c(C(C)(C)C)c1)N(C)C(=O)[C@@H](N)Cc1ccccc1,-4.9186072,<rdkit.Chem.rdchem.Mol object at 0x7fb386c897e0>
O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,-4.8378239,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89850>
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,-5.6900001,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89930>
CC[C@H]1[C@@H]2C[C@@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@@H]5O)N3[C@@H]1O,-4.9387093,<rdkit.Chem.rdchem.Mol object at 0x7fb386c899a0>
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1.O,-7.3400002,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89a10>
COc1cccc(-n2c(=O)n(Cc3ccccc3C#N)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,-4.5917602,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89af0>
Cc1oc(=O)oc1COC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCCCC4)cc3)C(=O)C2)CC1,-4.3099999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89b60>
Fc1ccncc1,-3.8897052,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89c40>
O=C(O)c1ccncc1,-5.1900001,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89cb0>
NC(=O)c1ccncc1,-4.2782722,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89d90>
Clc1ccncc1,-4.220202,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89e00>
OCc1ccncc1,-4.0902224,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89e70>
Nc1ccncc1,-4.0202255,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89ee0>
CCc1ccncc1,-3.9723473,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89f50>
c1ccncc1,-3.9703081,<rdkit.Chem.rdchem.Mol object at 0x7fb386c89fc0>
O=Cc1ccncc1,-4.1805573,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a0a0>
Oc1ccncc1,-4.1089525,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a110>
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,-4.52,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a180>
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,-4.96,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a1f0>
CCCN(Cc1ccoc1)C(=O)c1cc(C)cc(OCC2(CON=C(N)N)CC2)c1,-5.3872161,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a260>
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,-4.8400002,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a2d0>
NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)Cc1ccc(O)cc1,-7.4317985,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a420>
N=C(N)NCCC[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,-7.7600002,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a490>
COC(=O)c1ccccc1-c1c2ccc(=N)cc-2oc2cc(N)ccc12,-5.9411516,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a500>
COCN1C(=O)NC(=O)C(c2ccccc2)(c2ccccc2)C1=O,-4.5,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a570>
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)C(=O)N1,-4.46,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a650>
CC(C)COC(=O)N1CCC(CN(C2Cc3cc(C#N)ccc3N(Cc3cncn3C)C2)S(=O)(=O)c2ccccn2)CC1,-5.1224694,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a6c0>
CCO/N=C(\N)c1ccc(-c2ccc(-c3ccc(/C(N)=N/OCC)cc3)o2)cc1,-5.2295737,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a7a0>
N=C(N)c1ccc(-c2ccc(-c3ccc(C(=N)N)cc3)o2)cc1,-6.4201083,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a810>
CC(C)(NC(=O)c1cc2ccccc2s1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1,-5.3289509,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a880>
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,-4.0900002,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a8f0>
OC[C@H]1OC(OC[C@H]2OC(O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,-7.309804,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8a960>
O=C1NCC2(CCCNC2)c2[nH]c(-c3ccnc(-c4cc5ccccc5o4)n3)cc21,-5.8200002,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8aa40>
O=C(NC1(C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCN2CCC(O)CC2)CCCC1)c1cc2ccccc2s1,-5.8519359,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8ab20>
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-4.3499999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8ab90>
FC(F)(F)c1cccc(C2=CCN(CCc3ccc4ccccc4c3)CC2)c1,-4.73,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8ac00>
C[C@@H]1[C@H]2C3=CC(=O)[C@@H]4[C@]5(C)CC[C@@H](O)[C@@](C)(C(=O)O)[C@H]5CC[C@@]4(C)[C@@]3(C)C[C@H](C)[C@H]2CC[C@H]1C,-5.8000002,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8ace0>
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N/C(=C1\C(=O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3N(Cc3ccc(F)cc3)C1=O)N2,-5.8899999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8ad50>
O=C(NC1(C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCC(=O)N2CCC(N3CCOCC3)CC2)CCCC1)c1cc2ccccc2s1,-5.7697759,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8ae30>
CCc1oc(O)c(Cc2c(O)c(CC=C(C)C)c(O)c(C(C)=O)c2O)c(=O)c1C,-4.71,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8aea0>
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@@H](C)N,-5.6900001,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8af10>
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)C(C)C,-5.3499999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8af80>
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)[C@H](C)CC,-5.6799998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8aff0>
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)CC[C@@H](N)C(=O)O,-5.8099999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b060>
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)CO,-5.3299999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b0d0>
C/C=C/c1cc(OC)c2c(c1)C(C)C(c1cc(OC)c(O)c(OC)c1)O2,-5.3400002,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b140>
CO[C@H]1C[C@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)O[C@H](C)[C@H]1O,-5.6999998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b220>
C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,-7.23,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b290>
COC1CC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)OC(C)C1O,-5.5799999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b300>
O=C(NC1(C(=O)N[C@H](Cc2ccccc2)C(=O)NCCC(=O)N2CCN(CC3CCOCC3)CC2)CCCC1)c1cc2ccccc2s1,-5.5693183,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b3e0>
CC(C)(O)[C@H]1CC[C@@](C)([C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O)C5C(C)(C)[C@@H](O)CCC56CC46CC[C@]23C)O1,-4.5,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b450>
C[C@@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)c1ccc(-c2cc(Cl)ccc2-c2nnn(C)n2)cc1F,-4.5528421,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b4c0>
C[C@@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)c1ccc(-c2cc(Cl)cc(Cl)c2-c2nnn(C)n2)cc1F,-4.5528421,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b530>
C[C@@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)c1ccc(-c2cc(Cl)cc(F)c2-c2nnn(C)n2)cc1F,-4.6382723,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b5a0>
CN(C)CC1CCCCC1(O)c1cccc(O)c1,-4.7799463,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b610>
CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccn21,-4.9593034,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b680>
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1,-6.29,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b6f0>
CC(C)=CCC[C@](C)(O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]12C,-6.5883503,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b760>
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-4.6999998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b8b0>
CC(C)CNC(=O)[C@H](C)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,-5.0,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b920>
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,-5.2685814,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8b990>
COc1cc(C(=O)N2CC[C@](CCN3CCC(C(=O)N4CCN(C)CC4)(c4cccnc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,-5.1382737,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8ba70>
FC(F)(F)c1ccc(N2CCNCC2)nc1Cl,-4.5999999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8bb50>
COc1cncc(-c2nccc(-c3cc4c([nH]3)C3(CCCNC3)CNC4=O)n2)c1,-5.6999998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8bbc0>
Cn1c(N2CCN(CCCN3c4ccccc4Sc4ccc(CC(=O)O)cc43)CC2)cc(=O)n(C)c1=O,-4.9099998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8bca0>
Cn1c(N2CCN(CCCN3c4ccccc4Sc4ccc(CCC(=O)O)cc43)CC2)cc(=O)n(C)c1=O,-5.29,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8bd10>
Cn1c(N2CCN(CCCN3c4ccccc4Sc4ccc(C(=O)O)cc43)CC2)cc(=O)n(C)c1=O,-5.0,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8bd80>
CCCOc1ccc2c(c1)[C@@H](c1ccc(OC)cc1OCC(=O)O)[C@H](C(=O)O)C2,-5.23,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8bdf0>
COC(=O)c1cc(OC)c2c(c1-c1c(CO)cc(OC)c3c1OCO3)OCO2,-4.7979398,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8bed0>
CC(C)C(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1ccc(C(=O)N2CCOCC2)cc1)C(C)C)C(=O)C(F)(F)C(F)(F)F,-5.098455,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8bf40>
CCCCC(=O)NS(=O)(=O)c1ccccc1-c1ccc(Cn2c(CCC)nc(CC)c2C(=O)O)c(F)c1,-5.1999998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c0b0>
OC[C@@H]1O[C@@](O)(CO)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,-6.5364394,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c120>
CC1NC(=O)C(CC(=O)O)NC(=O)CNC(=O)CNC(=O)C(C)NC(=O)C(Cc2c[nH]c3ccccc23)NC1=O,-7.0307584,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c190>
CC(C)CNC(=O)[C@H](C)NC[C@H](Cc1ccccc1)NC(=O)c1cc(CCC2C[C@@H]2C)cc(N(C)S(C)(=O)=O)c1,-4.6197886,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c200>
CNC(=O)C(c1ccc2nc(N)n(C3CCCC3)c2c1)c1ccccc1F,-4.9074507,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c270>
O=c1nc(O)ccn1[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-6.0999999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c2e0>
CC(C)[C@H](N)C(=O)OC[C@H]1O[C@@H](n2ccc(O)nc2=O)[C@@H](O)[C@@H]1O,-5.23,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c350>
COc1cc2c(cc1OC)[C@]13CC[N+]4([O-])CC5=CCO[C@@H]6CC(=O)N2[C@@H]1[C@@H]6[C@@H]5C[C@H]34,-5.46,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c3c0>
C[N+]1(C)[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1C1OC12.[Br-],-6.1599998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c430>
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,-4.48,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c510>
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3c(=O)c2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,-6.4910722,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c580>
COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@H]2O[C@H](C)[C@@H](O)[C@H](O)[C@@H]2O[C@H]2OC[C@H](O)[C@@H](O)[C@@H]2O)cc1,-6.5595455,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c5f0>
N/C(=N/O)c1ccc2[nH]c(-c3ccccn3)nc2c1,-4.6500001,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c660>
N=C(N)c1ccc2[nH]c(-c3ccccn3)nc2c1,-6.4699998,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c6d0>
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,-4.5,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c7b0>
O=C(CS)NCCCCCC(=O)Nc1cccc2cccnc12,-4.8496218,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c890>
[Cl-].c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,-4.9574246,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8c900>
C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.2209244,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8cac0>
C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)N(C)C(=O)[C@@H](Cc2c[nH]c3ccccc23)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.7423639,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8cc10>
C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)N(C)C(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C1=O,-6.5700002,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8cc80>
O=C(CO)N1CCN(c2ccc(N3C[C@H](CNC(=S)C4CC4)OC3=O)cc2F)CC1,-4.4308991,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8ccf0>
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-4.75,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8cd60>
CC(=S)NC[C@H]1CN(c2ccc(N3CCCS(=O)(=O)CC3)c(F)c2)C(=O)O1,-4.6391363,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8ceb0>
COc1cc2nc(N3CCN(C(=O)c4occc4Cl)CC3)nc(N)c2cc1OC,-4.8899999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8cf20>
CCCCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OCc4oc(=O)oc4C)CC3)CC2=O)cc1,-4.3499999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8cf90>
O=C(/C=C/c1ccc(O)c2c1C(C(=O)O)C(c1ccc(O)c(O)c1)O2)OC(Cc1ccc(O)c(O)c1)C(=O)O,-7.0891552,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8d070>
CN1C(=O)CC(N2CCN(CCCN3c4ccccc4COc4ccc(C(=O)O)cc43)CC2)N(C)C1=O,-5.1199999,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8d0e0>
CN1C(=O)CC(N2CCN(CCCN3c4ccccc4COc4ccc(CC(=O)O)cc43)CC2)N(C)C1=O,-5.52,<rdkit.Chem.rdchem.Mol object at 0x7fb386c8d150>
