smiles,pKa,pKaAcidic_train_test,scaffold
CC1(S(=O)(=O)[O-])CC(=O)c2ccccc2C1=O,-1.47,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d7e0>
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,-1.42,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d8c0>
Cc1cc(C)c(-c2ccc(NC(=O)[C@H](Cc3ccc(C(=O)NCCS(=O)(=O)O)cc3)c3ccc(-c4ccc(C(C)(C)C)cc4)cc3)cc2)c(C)c1,-1.4,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487d9a0>
NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@@H](c4ccccc4)S(=O)(=O)[O-])[C@H]3SC2)cc1,-1.37,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487da10>
C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,-1.36,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487daf0>
C[C@]12CC[C@H](OS(=O)(=O)[O-])CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,-1.36,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487db60>
COC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(NS(=O)(=O)O)cc1)c1csc(-c2cccs2)n1,-1.36,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487dbd0>
CCc1cc(S(=O)(=O)O)c2cc(C(C)C)cccc1-2,-1.35,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487dc40>
O=C(NCCS(=O)(=O)O)c1cccs1,-1.35,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487dcb0>
Cc1cc(S(=O)(=O)O)c2c(C)ccc(C(C)C)cc1-2,-1.33,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487dd20>
O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)[O-])CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,-1.32,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487dee0>
N[C@@H](CCS(=O)(=O)O)CSSC[C@@H](N)CCS(=O)(=O)O,-1.26,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487df50>
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@@H](NCCCNCCCCN)CC[C@]4(C)[C@H]3CC[C@]12C)OS(=O)(=O)O,-1.26,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487dfc0>
CCCCC(CC)COS(=O)(=O)O,-1.23,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e110>
CCCCC(CC)COS(=O)(=O)[O-],-1.23,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e180>
CC(C)(C)c1ccc2c(S(=O)(=O)[O-])c(C(C)(C)C)ccc2c1,-1.21,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e260>
O=S(=O)(O)CCS,-1.16,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e2d0>
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NS(=O)(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,-1.16,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e340>
O=P(O)(O)C(NC1CCCCCC1)P(=O)(O)O,-1.13,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e3b0>
CN(CC(=O)O)C(=N)NP(=O)(O)O,-1.1,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e420>
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,-1.09,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e490>
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCS(=O)(=O)O)cc1,-1.08,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e500>
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)O,-1.05,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e570>
CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2=Cc1ccc(C=C2C(=O)C3(CS(=O)(=O)O)CCC2C3(C)C)cc1,-1.05,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e5e0>
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],-1.05,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e650>
NCCCS(=O)(=O)O,-0.99,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e730>
N[C@@H](CCC(=O)NCCS(=O)(=O)O)C(=O)O,-0.98,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e7a0>
O=S(=O)(O)CC(S)CS,-0.92,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e880>
O=P1(N(CCCl)CCCl)NC(SCCS(=O)(=O)O)CCO1,-0.9,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e8f0>
CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-],-0.88,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e960>
CC(=O)NCCCS(=O)(=O)O,-0.88,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487e9d0>
O=S(=O)(O)NC1CCCCC1,-0.83,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487ea40>
CN(C)CCC(N)(P(=O)(O)O)P(=O)(O)O,-0.83,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487eab0>
N[C@H](CS)CCS(=O)(=O)O,-0.81,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487eb20>
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,-0.75,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487ec00>
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,-0.75,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487ec70>
CC(C)[C@H](N)C(=O)NCCCS(=O)(=O)O,-0.66,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487ed50>
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCCCCCC(=O)N(C)CCS(=O)(=O)O)[C@@]2(C)C=CC(=O)C=C12,-0.64,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487edc0>
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-0.63,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487ee30>
CN1CC(=O)N/C1=N\P(=O)(O)O,-0.56,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487eea0>
Cc1c(N(CC(C)C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,-0.46,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487ef10>
CCCCNC(C)(C)[PH](=O)O,-0.12,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487ef80>
O=C(O)P(=O)(O)O,-0.1,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f060>
O=C(O)CN(CC(=O)O)Cc1cc2c(cc1O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21,0.06,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f140>
CC(O)(C(=O)O)P(=O)(O)C(C)(O)C(=O)O,0.12,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f1b0>
N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,0.27,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f220>
N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,0.27,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f290>
N[C@@H](Cc1cc([125I])c(Oc2cc([125I])c(O)c([125I])c2)c([125I])c1)C(=O)O,0.27,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f370>
NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,0.3,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f450>
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,0.3,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f4c0>
N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,0.3,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f530>
N[C@@H](Cc1cc([125I])c(Oc2ccc(O)c([125I])c2)c([125I])c1)C(=O)O,0.3,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f5a0>
Cc1cnc(C(=O)O)c[n+]1[O-],0.31,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f6f0>
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.33,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f760>
Cc1ncc(COP(=O)(O)O)c(CN(CCN(CC(=O)O)Cc2c(COP(=O)(O)O)cnc(C)c2O)CC(=O)O)c1O,0.33,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f7d0>
N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O,0.36,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f840>
C[C@@H](O[C@H]1OCCN(Cc2nc(=O)n(P(=O)(O)O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.36,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f8b0>
O=P1(O)OP(=O)(O)OP(=O)(O)O1,0.4,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f920>
O=P1([O-])OP(=O)([O-])OP(=O)([O-])O1,0.4,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487f990>
Cc1ncccc1NC(=O)c1ccc2c(c1)CC[C@@H]1C[C@@](OP(=O)(O)O)(C(F)(F)F)CC[C@@]21Cc1ccccc1,0.44,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487fa00>
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3COP(=O)(O)O)oc2ccccc12,0.45,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487fa70>
N[C@@H](Cc1cc([131I])c(O)c([131I])c1)C(=O)O,0.48,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487fbc0>
N[C@@H](Cc1cc([125I])c(O)c([125I])c1)C(=O)O,0.48,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487fc30>
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,0.54,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487fca0>
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)[O-].[Zn+2],0.54,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487fd10>
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)[O-],0.54,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487fd80>
N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,0.56,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487fdf0>
N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1.NC(CO)(CO)CO.NC(CO)(CO)CO,0.56,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487fe60>
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,0.59,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf487fed0>
O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,0.59,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4880040>
O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,0.62,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4880120>
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,0.66,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4880200>
CN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,0.66,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48802e0>
O=P([O-])(O)C(O)(Cn1ccnc1)P(=O)([O-])O,0.66,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48803c0>
NCCC(O)(P(=O)(O)O)P(=O)(O)O,0.67,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4880430>
NCCC(O)(P(=O)([O-])O)P(=O)([O-])O,0.67,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48804a0>
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,0.68,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4880510>
O=P(O)(O)C(O)(Cc1cnc2ccccn12)P(=O)(O)O,0.68,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4880580>
O=P([O-])(O)C(O)(Cc1cccnc1)P(=O)(O)O,0.68,train,<rdkit.Chem.rdchem.Mol object at 0x7fdcf48805f0>
NCCCC(O)(P(=O)([O-])O)P(=O)(O)O,0.69,test,<rdkit.Chem.rdchem.Mol object at 0x7fdcf4880660>
