smiles,Fu_final,lgFu,Fu_train_test,scaffold
CCC(CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2)O,0.999,-0.000434512,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a2d0>
OC1=Nc2ccccc2CC1NC(=O)c1cc2c([nH]1)sc(c2)Cl,0.999,-0.000434512,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a340>
O[C@H]1[C@@H](CC[C@H]1O)n1cnc2c1c(F)c[nH]c2=N,0.999,-0.000434512,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a420>
CC(O)C(=O)NC1C(I)=C(C(I)=C(C=1I)C(=O)NC(CO)CO)C(=O)NC(CO)CO,0.99875,-0.000543208,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a490>
OCC(CN1C(=O)C(N=C(c2cc3c([nH]2)c(c(s3)Cl)Cl)O)Cc2c1cccc2)CO,0.998,-0.000869459,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a570>
OC[C@@H](CN1C(=O)C(N=C(c2cc3c([nH]2)ccc(c3)Cl)O)Cc2c1cccc2)O,0.998,-0.000869459,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a5e0>
COCCN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.998,-0.000869459,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a650>
OCC(CN1C(=O)C(N=C(c2cc3c([nH]2)ccc(c3)Cl)O)Cc2c1cccc2)CO,0.998,-0.000869459,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a730>
OCCN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.998,-0.000869459,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a7a0>
C[N+](C)(C)CC(O)CC([O-])=O,0.9975,-0.001087096,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a810>
OC(=O)C(O)=O,0.9975,-0.001087096,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a880>
Cc1ncc(CO)c(CO)c1O,0.9975,-0.001087096,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a8f0>
NCCCC(N)(C(=O)O)C(F)F,0.9975,-0.001087096,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a960>
CCN(CC)C(=O)N1CCN(C)CC1,0.9975,-0.001087096,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16a9d0>
CCC1(C)CC(=O)NC1=O,0.9975,-0.001087096,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16aa40>
Cc1cn[nH]c1,0.9975,-0.001087096,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16aab0>
OC1CC(OC1CO)N1C=C(I)C(=O)NC1=O,0.9975,-0.001087096,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16ab90>
CC12CC(O)C3C(CCC4(O)CC(CC(O)C43CO)OC3OC(C)C(O)C(O)C3O)C1(O)CCC2C1COC(=O)C=1,0.9975,-0.001087096,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16ac70>
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0.9975,-0.001087096,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16ace0>
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,0.9975,-0.001087096,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16ad50>
C=CC(N)CCC(=O)O,0.9975,-0.001087096,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16adc0>
CN1C(=O)CC(C)(c2ccccc2)C1=O,0.9975,-0.001087096,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16ae30>
Clc1ccc(c(c1)CNCC12CC3CC(C2)CC(C1)C3)O,0.996,-0.001740662,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16af10>
OC(=NS(=O)(=O)C)CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.996,-0.001740662,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16af80>
CN=C(CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2)O,0.996,-0.001740662,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16aff0>
OC(=N)CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.996,-0.001740662,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b060>
OC[C@@H](CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2)O,0.996,-0.001740662,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b0d0>
NC1C=CN(C2OC(CO)C(O)C2(F)F)C(=O)N=1,0.995000002,-0.002176919,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b140>
CN=C(CCN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2)O,0.995,-0.002176919,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b1b0>
OCC(CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2)CO,0.995,-0.002176919,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b220>
O=C1C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c(N1CCS(=O)(=O)C)cccc2,0.995,-0.002176919,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b290>
O=c1nc2[nH][nH]cc-2c(=O)[nH]1,0.995,-0.002176919,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b370>
CC1CN(N=CC2C=NC=CC=2)C(=O)N=N1,0.9941025,-0.002568834,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b3e0>
ONC(=N)CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.994,-0.002613616,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b450>
O=C(N(C)C)CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2,0.994,-0.002613616,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b4c0>
CC1=CN(C2C=CC(CO)O2)C(=O)NC1=O,0.993333335,-0.00290499,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b530>
CC1=NN(C(=O)N1C(F)F)C1=CC(NS(C)(=O)=O)=C(Cl)C=C1Cl,0.992550662,-0.003247317,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b5a0>
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,0.992471663,-0.003281884,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b610>
NC1=NC(=O)N(C=N1)C1OC(CO)C(O)C1O,0.990000005,-0.004364803,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b760>
CP(O)(=O)CCC(N)C(O)=O,0.990000005,-0.004364803,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b7d0>
CCCCN1CC(O)C(O)C(O)C1CO,0.990000005,-0.004364803,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b8b0>
NC(=O)C1N=CN(N=1)C1OC(CO)C(O)C1O,0.990000004,-0.004364804,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b920>
COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,0.990000003,-0.004364804,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16b990>
NCC1OC(OC2C(O)C(OC3OC(CO)C(O)C(N)C3O)C(N)CC2N)C(O)C(O)C1O,0.99,-0.004364805,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16ba00>
OCCN=C(CN1C(=O)C(NC(=O)c2cc3c([nH]2)sc(c3)Cl)Cc2c1cccc2)O,0.99,-0.004364805,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16ba70>
CN(C)N=Nc1nc[nH]c1C(N)=O,0.988333337,-0.005096556,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16bbc0>
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.988333337,-0.005096556,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16bc30>
Cc1cc2nnc(n2c2c1ccc(c2)c1c[nH]nc1)O,0.987,-0.005682847,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16bca0>
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,0.985,-0.00656377,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16bd80>
OC(=O)C1(CC1)C(=O)NC1=CC=C(Cl)C=C1Cl,0.983335839,-0.007298132,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16bdf0>
OC1CCN(CC1)C(=O)CN1C(=O)C(Cc2c1cccc2)NC(=O)c1cc2c([nH]1)sc(c2)Cl,0.982,-0.007888512,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16be60>
CN(CCS(=O)(=O)N=C(c1ccc2c(c1)n(CC(=O)N(C)C)c(c2C1CCCCC1)c1ccccc1)O)C,0.981,-0.008330993,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16bed0>
O=NC=C1C=CN(COCN2C=CC(=CN=O)C=C2)C=C1,0.98000001,-0.00877392,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd16bf40>
CC12CCC3C(CCC4CC(OC(C)=O)C(CC43C)N3CC[N+](C)(C)CC3)C1CC(C2OC(C)=O)N1CC[N+](C)(C)CC1,0.980000005,-0.008773922,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1700b0>
CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0.98,-0.008773924,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170120>
CCCC1(CCCN1)C(=O)c1ccc2c(c1)c[nH]n2,0.98,-0.008773924,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170200>
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0.975,-0.010995384,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170350>
CNC1C(O)C(OC2C(CC(N)C(OC3OC(CN)=CCC3N)C2O)NCC)OCC1(C)O,0.974999999,-0.010995385,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1703c0>
Fc1cccc(c1)C#Cc1ccc(nc1)C(=O)N[C@@H](C(O)(C)C)C,0.973,-0.01188716,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170510>
CP(=O)(OC(C)C)OC(C)C,0.972746903,-0.012000143,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170580>
CNCCC1C=CC=CN=1,0.970000015,-0.013228259,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1705f0>
OCC1OC(CC1O)N1C=NC2C(O)CNC=NC1=2,0.970000015,-0.013228259,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170660>
NCC1CCC(CC1)C(O)=O,0.970000015,-0.013228259,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1706d0>
NC1C=CN(C2CCC(CO)O2)C(=O)N=1,0.970000015,-0.013228259,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170740>
CC(=O)NCCCS(=O)(=O)O,0.970000015,-0.013228259,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1707b0>
NCC1(CC(=O)O)CCCCC1,0.97,-0.013228266,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170820>
O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1,0.97,-0.013228266,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170900>
Cc1cc2nnc(n2c2c1ccc(c2)c1ccc[nH]1)O,0.97,-0.013228266,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1709e0>
CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O,0.967,-0.014573526,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170ac0>
OC(=NCC1(CCCC1)N1CCOCC1)N1CCC(CC1)c1onc(n1)c1ccc2c(n1)cccc2,0.967,-0.014573526,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170b30>
Nc1[nH]c(=O)ncc1F,0.965,-0.015472687,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170ba0>
CNC(=O)CSP(=S)(OC)OC,0.964152995,-0.015854045,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170c10>
CCC(O[C@@H]1C=C(C[C@@H]([C@H]1N=C(O)C)NC(=N)C)C(=O)O)CC,0.963,-0.016373713,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170c80>
C=CCOC(=O)C1C=CC=CC=1C(=O)OCC=C,0.962082053,-0.016787887,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170cf0>
CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1,0.96,-0.017728767,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170dd0>
Nc1ncnc2c1ncn2CCOCP(=O)(O)O,0.96,-0.017728767,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170eb0>
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,0.96,-0.017728767,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170f20>
NC1=NC(=O)N(C=C1F)C1CSC(CO)O1,0.96,-0.017728767,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd170f90>
C=CC(=Nc1ccc(cn1)S(=O)(=O)N1CCN(CC1)C(=O)C1CC1)O,0.96,-0.017728767,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171000>
NCCCNCCSP(=O)(O)O,0.95999999,-0.017728771,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171070>
CN1CC2=C(CC1)N(CC1C=CC=CC=1)C1C=CC=CC2=1,0.95999999,-0.017728771,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1710e0>
CC(C)NCC(O)COC1=CC=C(O)C=C1,0.95999999,-0.017728771,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171150>
Cc1cccc(n1)C#CC1=C/C(=N/OC([3H])([3H])[3H])/CCC1,0.956,-0.019542108,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1711c0>
COc1ccc(c(c1)O)CNCC12CC3CC(C2)CC(C1)C3,0.956,-0.019542108,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171230>
C=CN1CCCC1=O,0.953,-0.020907099,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171310>
CN1CCC[C@H]1c1cccnc1,0.95,-0.022276395,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171460>
O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,0.95,-0.022276395,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1714d0>
CNC1C(O)C(OCC1(C)O)OC1C(CC(N)C(OC2OC(CN)C(O)C(O)C2O)C1O)NC(=O)C(O)CN,0.949999999,-0.022276395,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171540>
CC1CC(=O)C2(O)OC3C(OC2O1)C(O)C(NC)C(O)C3NC,0.949999995,-0.022276397,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171620>
N=C(N)NCCN1CCCCCCC1,0.949999995,-0.022276397,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171690>
C[n+]1ccccc1/C=N/O,0.949999995,-0.022276397,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171700>
OCC(=O)NCCCOC1C=C(CN2CCCCC2)C=CC=1,0.949999995,-0.022276397,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171770>
Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,0.948,-0.023191663,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171850>
CN(CCCNCc1cc(I)cc(c1O)C1CCCCC1)C,0.948,-0.023191663,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1718c0>
OCc1cc2nnc(n2c2c1ccc(c2)c1ccc[nH]1)O,0.948,-0.023191663,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171930>
CC(CN1C=NC2C(N)=NC=NC1=2)OCP(O)(O)=O,0.940500002,-0.026641199,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1719a0>
CN(C)NC(=O)CCC(O)=O,0.939,-0.027334408,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171bd0>
CN(CCCNCc1cc(I)cc(c1O)C(C)(C)C)C,0.939,-0.027334408,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171c40>
NC1=NC(Cl)=NC2=C1N=CN2C1CC(O)C(CO)O1,0.938627773,-0.0275066,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171cb0>
CC1=C(C)S(=O)(=O)CCS1(=O)=O,0.937,-0.028260409,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171d20>
NC1=NC(NC2CC2)=NC(N)=N1,0.935872334,-0.028783391,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171e00>
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,0.931666667,-0.030739442,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171e70>
CC(=O)NC1C=CC=CC=1,0.930000005,-0.031517049,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171ee0>
CC[N+](C)(C)CC1C=CC=CC=1Br,0.930000005,-0.031517049,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171f50>
CC[N+]1(C)C2CC(CC1C1OC12)OC(=O)C(CO)C1C=CC=CC=1,0.930000005,-0.031517049,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd171fc0>
CN1C(=O)CC(c2ccccc2)C1=O,0.930000005,-0.031517049,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172030>
CN1C=CN(C1=S)C(=O)OCC,0.930000005,-0.031517049,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1720a0>
CC(CN1C=NC2C(N)=NC=NC1=2)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C,0.930000005,-0.031517049,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172110>
CC(=O)CCC(C)=O,0.93,-0.031517051,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1721f0>
N#Cc1ccc(cc1)c1cc(nc(=N)[nH]1)N1CCNCC1,0.93,-0.031517051,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1722d0>
CN1C(=O)OC(C)(C)C1=O,0.925833334,-0.033467187,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172340>
CN(C)C1C(=O)N(C2C=CC=CC=2)N(C)C=1C,0.924999999,-0.033858268,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1723b0>
C/N=C(C[N+]([O-])=O)/NCCSCC1=CC=C(CN(C)C)O1,0.924999997,-0.033858269,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172420>
CCCCSc1cc(I)cc(c1O)CNCCCN(C)C,0.924,-0.034328029,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172490>
CC1(N=C(NC1=O)C1=NC=CC=C1C(O)=O)C(C)C,0.922520497,-0.035023976,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172500>
NC1C=CC(=CC=1)S(=O)(=O)NC(N)=N,0.92000001,-0.036212168,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1725e0>
CC1C2C(C(C)O)C(=O)N2C(C([O-])=O)=C1SC1CN2C=NC=[N+]2C1,0.920000005,-0.03621217,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1726c0>
CCN=c1nc(C(=O)N)c2c([nH]1)CCN(C2)C(=O)CCc1ccc(cc1)OC(F)(F)F,0.917,-0.037630664,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172810>
CCC(C(N)=O)N1CCCC1=O,0.916666665,-0.037788562,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172880>
CN=C(OCC[C@H]1C[C@@H]1c1cncc(c1)OC[C@@H]1CCN1)O,0.916,-0.038104526,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1728f0>
O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,0.91,-0.040958608,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1729d0>
O=C(C1CC21CCN(CC2)C1CCOCC1)N1CCN(CC1)C1CCC1,0.91,-0.040958608,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172a40>
COc1ccc(cc1)N(C1CCN(CC1)[C@@H](CCN=C(c1c(C)ncnc1C)O)C)Cc1cscc1,0.91,-0.040958608,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172ab0>
CN(C1CCN(CC1)C(=O)Cn1c2cc(ccc2c(c1c1cnn(c1)C)C1CCCCC1)c1[nH]oc(=O)n1)C,0.906,-0.042871802,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172b90>
COC(C)(C)C,0.905,-0.043351421,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172c00>
Cc1cc(=O)n(-c2ccccc2)n1C,0.9,-0.045757491,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172d50>
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,0.9,-0.045757491,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172dc0>
CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,0.9,-0.045757491,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172e30>
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0.9,-0.045757491,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172f10>
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,0.9,-0.045757491,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd172f80>
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@H]3C[C@@H](C(=O)N4CC[C@H](NC(=O)CNC(=N)N)C4)N(C)C3)[C@H](C)[C@H]12,0.9,-0.045757491,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd173060>
CCCC[N+]12CCC(CC1)[C@H](C2)OC(=O)[C@](c1ccccc1)(N1CCCCC1)C,0.9,-0.045757491,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1730d0>
Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,0.9,-0.045757491,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd173140>
NCCc1ccc(O)c(O)c1,0.89999999,-0.045757495,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd173220>
C/N=C(\NC)NCc1ccccc1,0.89999999,-0.045757495,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd173300>
CCCCNC(=N)NC(=N)N,0.89999999,-0.045757495,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd173370>
CN1C(C)=C(C(C)C)C(=O)N1C1C=CC=CC=1,0.89999999,-0.045757495,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1733e0>
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,0.89999999,-0.045757495,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd173450>
CN1CC=NC1=S,0.89892978,-0.046274232,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1734c0>
CC(=CC(=O)NC)OP(=O)(OC)OC,0.898,-0.046723663,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1735a0>
NC1CC(NC(=O)C(O)CCN)C(OC2OC(CO)C(O)C(N)C2O)C(O)C1OC1OC(CN)C(O)C(O)C1O,0.895000005,-0.048176962,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd173610>
CN1CSC(=S)N(C)C1,0.890904495,-0.05016885,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1736f0>
N=C1CC(=CNC1=O)C1C=CN=CC=1,0.889999998,-0.050609995,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd173760>
CC(C)(C(=O)c1cccnc1)c1cccnc1,0.8882,-0.051489231,test,<rdkit.Chem.rdchem.Mol object at 0x7f52bd1737d0>
CN1CCCC1=O,0.888,-0.051587034,train,<rdkit.Chem.rdchem.Mol object at 0x7f52bd173840>
