smiles,LogD,scaffold
O=C(O)[C@H](Cc1ccc(Cl)cc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,2.86,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea960>
Cc1cc(OC2CCN(CC3CCN([C@@H](Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl,2.54,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ea9d0>
O=C(O)[C@H](Cc1ccccc1F)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,2.58,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eaa40>
Cc1cc(Cl)ccc1OC1CCN(CC2CCN([C@@H](Cc3ccc(F)cc3)C(=O)O)CC2)CC1,2.53,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eaab0>
COc1ccccc1C[C@@H](C(=O)O)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,2.77,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eab20>
Cc1cc(F)ccc1OC1CCN(CC2CCN([C@@H](Cc3ccc(F)cc3)C(=O)O)CC2)CC1,1.81,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eac00>
Cc1c(OC2CCN(CC3CCN([C@@H](Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc(C#N)c1Cl,2.19,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eac70>
Cc1c(OC2CCN(CC3CCN([C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc(Cl)c1Cl,2.98,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ead50>
O=C(O)[C@@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,2.5,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eadc0>
O=C(O)[C@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(CO)c(Cl)c3)CC2)CC1,0.8,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eae30>
O=C(O)[C@H](Cc1ccc(F)cc1)N1CCC(CN2CCC(Oc3ccc(Cl)cc3Cl)CC2)CC1,2.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eaea0>
Cc1cc(OC2CCN(CC3CCN([C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl,2.08,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eaf80>
O=C(O)[C@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,2.5,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eaff0>
Cc1ccc(C[C@@H](C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,3.01,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eb0d0>
N#Cc1cccc(C[C@@H](C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,2.26,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eb140>
Cc1cccc(Br)c1C(=O)N[C@@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)C(=O)O,-0.13,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eb300>
Nc1nc(-c2ccccc2)ns1,2.2,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eb370>
CC(=O)Nc1nc(-c2ccccc2)ns1,2.8,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eb3e0>
Cn1c(N)nc(CCc2cccc(-c3cccnc3)c2)cc1=O,2.5,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eb450>
Cc1ncsc1CCOCCCS(=O)(=O)CCNCCc1ccc(O)c2nc(O)sc12,1.44,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eb4c0>
Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1,4.11,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eb610>
C[C@H](Nc1nc(NC[C@@H](O)CO)c(Cl)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccc(F)cc1,3.39,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eb680>
Fc1ccc(CNc2ncc(Br)c(Nc3cc(C4CC4)[nH]n3)n2)cc1,4.28,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eb6f0>
O=C(Oc1ccccc1)N1CCOCC1,1.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eb840>
Cc1cccc(NS(=O)(=O)c2ccc(-c3ccc(C#N)cc3)cc2)n1,2.42,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eb990>
N#Cc1ccc(-c2ccc(S(=O)(=O)Nc3cccc(N)n3)cc2)cc1,2.2,<rdkit.Chem.rdchem.Mol object at 0x7f06b41eba00>
N#Cc1ccc(C(=O)N2CCC3(CC2)N=C(N)c2c(F)ccc(F)c2N3)cn1,0.79,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ebae0>
NC(=O)COc1ccc(OCCNCC(O)COc2ccccc2)cc1,0.63,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ebbc0>
COc1ccc(-c2nc(N3CCOCC3)nc(O)c2C#N)cc1,0.2,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ebca0>
CC1(C)CNC(=O)c2sc(N3CCOCC3)nc2C1,1.29,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ebd10>
Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)cc2F)n[nH]1,3.11,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ebed0>
Cc1ccc(COC(=O)N2CC[C@H](CNc3ncccn3)[C@H](F)C2)cc1,3.21,<rdkit.Chem.rdchem.Mol object at 0x7f06b41ebf40>
Cc1ccc(COC(=O)N2CCC(CNc3ncccn3)CC2)cc1,3.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f00b0>
COc1cccc(C(=O)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)c1,2.65,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0120>
Cc1ncc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)n1C(C)C,2.88,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0190>
Cc1ncc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)n1C(C)C,3.01,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0200>
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,2.11,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0270>
Nc1ncc(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)nc1C(=O)Nc1cccnc1,2.83,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f02e0>
O=C(N[C@@H](Cc1ccc(OCCCNc2ccccn2)cc1)C(=O)O)c1c(Cl)cccc1Cl,-0.22,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0430>
CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,3.7,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f04a0>
CC(C)C(=O)NCCNCC(O)COc1ccc(O)cc1,-0.15,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0510>
CCN(CC)CCOC(=O)c1ccc(N)cc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0580>
COC(=O)COc1ccc(O)cc1,0.92,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f05f0>
C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,-0.7,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0660>
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.1,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f06d0>
C=CC(=O)Nc1ccc(OC)cc1,1.68,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0740>
O=Cc1ccccc1B(O)O,0.83,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f07b0>
Cc1cccc(C)c1OC[C@@H](C)N,0.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0820>
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,1.2,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0890>
Cc1ccc(/C=C(\C#N)C(N)=O)cc1,2.09,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f09e0>
CCCc1c(OCCCCSCC(=O)O)ccc(C(C)=O)c1O,1.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0a50>
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,-0.9,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0ac0>
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,0.54,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0b30>
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,2.11,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0ba0>
Nc1ccccc1[N+](=O)[O-],-0.96,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0c10>
C=CC(=O)Nc1ccc(C)cc1,2.25,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0c80>
NC(=O)c1ccc(Br)cc1,1.75,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0cf0>
Cc1ccc(NC(=N)N)cc1C,-1.34,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0d60>
CCN(CC)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1,3.66,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0dd0>
CC(=N)NCc1ccccc1,-0.28,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0e40>
C=CCOc1ccccc1OCC(O)CNC(C)C,0.2,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0eb0>
CC(C)Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1,0.51,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0f20>
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,-0.33,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f0f90>
C=CCNS(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1,3.07,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1000>
C[C@@](O)(C(=O)Nc1ccc(S(C)(=O)=O)cc1Cl)C(F)(F)F,2.08,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1070>
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,1.47,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1150>
CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,1.93,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f11c0>
CC(=O)Nc1ccc(O)cc1,0.25,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1230>
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f12a0>
N=C(N)Nc1ccc(Cl)c(Cl)c1,-0.31,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1310>
C=CCc1cc(NC(C)=O)ccc1OCCCNC(C)C,-0.01,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1380>
CC(C)Cc1ccc(C(C)C(=O)NS(C)(=O)=O)cc1,0.78,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f13f0>
COc1ccc(OC)c(C(O)CNC(=O)CN)c1,-0.71,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f14d0>
NC(=O)c1ccccc1O,1.09,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1540>
CC(C)CCOc1ccc(N)cc1,2.67,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f15b0>
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,0.44,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1620>
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,0.92,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1690>
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,3.46,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1700>
CCOC(=O)c1ccc(OC(=O)CCCCCN=C(N)N)cc1,2.41,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1770>
CC(C)Cc1ccc([C@H](C)C(=O)NS(C)(=O)=O)cc1,0.56,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f17e0>
Cc1ccc(O)c(O)c1,1.37,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1850>
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f18c0>
CCOc1ccc(NC(C)=O)cc1,1.5,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1a10>
COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,1.55,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1a80>
N=C(N)SCc1ccc(Cl)c(Cl)c1,1.28,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1b60>
CCC(CCNC)Oc1cc(Cl)ccc1C#N,0.38,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1bd0>
CCN(CC)C(C)C(=O)c1ccccc1,1.18,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1c40>
Cc1cccc(C)c1OCC(C)N,0.62,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1cb0>
C=CCc1ccccc1OCC(O)CNC(C)C,0.99,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1d90>
Oc1cc(Cl)cc(Cl)c1,3.58,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1e00>
NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0.81,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1ee0>
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0.44,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1f50>
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0.34,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f1fc0>
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,2.12,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2030>
CCN(CC)S(=O)(=O)c1ccc(NC(=O)C(C)(O)C(F)(F)F)cc1,2.63,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2110>
C#CCN(C)C(C)Cc1ccccc1,2.16,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2180>
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,-1.1,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f21f0>
CCN(CC)CCNC(=O)c1ccc(N)cc1,-0.92,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2260>
CCOC(=O)c1ccc(N)cc1,1.83,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f22d0>
CC(=O)Nc1ccccc1C,1.0,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2340>
CN[C@@H](C)[C@H](O)c1ccccc1,-1.15,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f23b0>
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,-0.27,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2420>
Cc1cccc(C)c1OC[C@H](C)N,0.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2490>
N[C@@H](Cc1ccc(F)cc1)C(=O)O,-1.06,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2500>
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,0.39,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2570>
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1.15,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f25e0>
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,3.7,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2650>
NC(=O)c1ccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)cn1,1.51,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2730>
CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5cnccn5)c(Cl)c4)c23)CC1,3.21,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f27a0>
CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)OCc2ccccn2)c1=O)C(=O)C(F)(F)F,1.91,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2810>
O=c1c2ccccc2nc2ccccn12,2.1,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2880>
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,3.17,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f28f0>
O=C(COCc1cscn1)N1CCN(c2ccc(Cl)cc2Cl)CC1,3.07,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2960>
C[C@@H]1CN[C@@H](C2CC2)C(=O)N(C)[C@H](C)C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2O1,3.3,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f29d0>
CNC1=Nc2ncccc2C(c2cc[nH]c2)=NC1c1cccs1,1.73,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2a40>
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,2.41,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2ab0>
Cn1cnc2cc(C#Cc3ccccc3)cnc21,3.5,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2b90>
O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)nc1,2.7,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2ce0>
Clc1ccc2c(c1Nc1ncnc3cc(OCCN4CCCC4)cc(OC4CCOCC4)c13)OCO2,2.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2d50>
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2)c1,1.37,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2dc0>
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,3.02,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2e30>
CCOc1ccc(-n2c(CC)nc3ccccc3c2=O)cc1,3.27,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2f10>
O=c1c2ccc(O)cc2ncn1-c1ccc(O)cc1,1.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2f80>
O=C(NCC1CCOCC1)c1ncccc1NC(=O)c1cccc2ccccc12,4.4,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f2ff0>
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,2.01,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f3140>
CCC(CO)NCCNC(CC)CO,-1.42,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f31b0>
CC(N)(COP(=O)(O)O)C(=O)O,2.5,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f3220>
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,2.93,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f3290>
CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,2.6,<rdkit.Chem.rdchem.Mol object at 0x7f06b41f3300>
