smiles,pKb,pKaBasic_train_test,scaffold
Cc1nc(=O)cc(/C=C/c2ccc([N+](=O)[O-])o2)[nH]1,0.54,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fab90>
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0.55,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fac00>
[O-][n+]1ccccc1SSc1cccc[n+]1[O-],0.55,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fac70>
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,0.57,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94face0>
COc1cc(NC(=O)Nc2cccc(CNC(=O)O[C@H]3CCOC3)c2)ccc1-c1cnco1,0.57,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fad50>
Cc1nnc(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C(=O)O)cc2)s1,0.57,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fadc0>
Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)nc2O)cc1,0.57,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94faf10>
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,0.58,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94faf80>
CCOCCOC(=O)C(=O)Nc1nc(-c2cc(C)no2)cs1,0.58,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94faff0>
COCC[n+]1c2c(n(Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O,0.58,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb0d0>
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.58,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb140>
CC(C)Oc1ccc(-c2nc(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)c3oc4ccccc4c3n2)cc1,0.59,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb1b0>
O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0.59,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb220>
O=[N+]([O-])c1ccc(S(=O)(=O)Nc2nccs2)cc1,0.59,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb300>
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,0.59,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb3e0>
Nc1nc2c(ncn2COCCO)c(=O)[nH]1,0.6,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb4c0>
O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,0.6,test,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb530>
O=C1c2cc(-c3ccc(OC(F)(F)F)cc3)ccc2OCCN1Cc1ncccn1,0.6,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb5a0>
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1C1(C(F)(F)F)CC1(F)F,0.62,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb680>
CC(C)Oc1ncc(-c2nc(-c3cccc4c3ccn4CCCC(=O)O)no2)cc1Cl,0.62,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb6f0>
CCc1cc(-c2noc(-c3cc(OC)nc(C4CCCC4)c3)n2)cc(C)c1OC[C@@H](O)CO,0.62,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb760>
O=C(NN1CCCC1)NS(=O)(=O)c1ccc(Cl)cc1,0.63,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb7d0>
COc1ccccc1Oc1c(NS(=O)(=O)/C=C/c2ccccc2)nc(-c2ncccn2)nc1OC,0.63,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb840>
O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2ncc3ccccc3c2C2CC2)cc1,0.63,train,<rdkit.Chem.rdchem.Mol object at 0x7fcdd94fb8b0>
